gene	tot_nsample
ARHGEF3_ENST00000338458	35
ARHGEF3_ENST00000413728	12
ARHGEF33	41
ARHGEF35	9
ARHGEF37	44
ARHGEF38	28
ARHGEF38_ENST00000420470	23
ARHGEF4	69
ARHGEF4_ENST00000392953	16
ARHGEF40	9
ARHGEF40_ENST00000298694	70
ARHGEF5	73
ARHGEF6	102
ARHGEF7	80
ARHGEF7_ENST00000375736	55
ARHGEF7_ENST00000375741	18
ARHGEF9	64
ARHGEF9_ENST00000253401	45
ARID1A	780
ARID1B	172
ARID1B_ENST00000346085	128
ARID2	273
ARID3A	32
ARID3B	37
ARID3C	28
ARID4A	113
ARID4A_ENST00000355431	84
ARID4B	8
ARID4B_ENST00000264183	125
ARID5A	31
ARID5B	118
ARIH1	37
ARIH2	27
ARL1	1
ARL1_ENST00000261636	9
ARL10	20
ARL11	24
ARL13A	6
ARL13A_ENST00000450049	1
ARL13B	20
ARL13B_ENST00000394222	33
ARL14	16
ARL15	13
ARL15_ENST00000504924	16
ARL16	15
ARL17A	3
ARL17B	3
ARL2	10
ARL2BP	19
ARL3	2
ARL3_ENST00000260746	10
ARL4A	14
ARL4C	11
ARL4D	14
ARL5A	12
ARL5B	9
ARL5C	3
ARL6	17
ARL6IP1	23
ARL6IP4	14
ARL6IP5	14
ARL6IP6	19
ARL8A	12
ARL8B	13
ARL8B_ENST00000419534	3
ARL9	11
ARMC1	20
ARMC10	24
ARMC2	59
ARMC3	101
ARMC4	151
ARMC5	64
ARMC5_ENST00000457010	35
ARMC6	33
ARMC6_ENST00000535612	25
ARMC7	15
ARMC8	34
ARMC8_ENST00000481646	43
ARMC9	57
ARMC9_ENST00000359743	57
ARMCX1	66
ARMCX2	71
ARMCX3	33
ARMCX4	2
ARMCX5	54
ARMCX6	21
ARMS2	1
ARMS2_ENST00000528446	6
ARNT	64
ARNT2	81
ARNTL	43
ARNTL2	44
ARPC1A	37
ARPC1A_ENST00000432884	1
ARPC1B	38
ARPC2	19
ARPC3	6
ARPC4	4
ARPC5	6
ARPC5L	7
ARPM1	28
ARPP19	6
ARPP21	131
ARR3	38
ARRB1	34
ARRB2	23
ARRDC1	21
ARRDC2	34
ARRDC2_ENST00000222250	31
ARRDC3	52
ARRDC4	25
ARRDC5	20
ARSA	19
ARSB	48
ARSD	42
ARSE	43
ARSF	86
ARSG	53
ARSH	60
ARSI	63
ARSJ	51
ARSK	27
ART1	17
ART3	31
ART4	23
ART5	40
ARTN	6
ARV1	28
ARVCF	52
ARX	20
AS3MT	19
ASAH1	24
ASAH1_ENST00000314146	16
ASAH1_ENST00000381733	25
ASAH2	30
ASAH2_ENST00000395526	33
ASAH2B	6
